tweet,sarcasm,sentiment,dialect
د محمودالعلايليأرى أن الفريق أحمدشفيق رقم مهم في المعادلة السياسية المصرية ولا يمكن إغفالههل ترى أن هذا صحيح؟أربعةزائدواحد,FALSE,NEU,msa
مع فيدرر يا آجا والكبار  ,FALSE,NEU,msa
الداعون لمبدأ الاختلاط بين الجنسين؛ كالداعين لإلغاء التسعيرة كلاهما يريد تصفية السوق السوداء بجعلها حرة  الاختلاط  ,TRUE,NEG,msa
       مساكين من الصبح و هوما رايحين راجعين عاى غوغل تعبت بدالهم ههههه ي,TRUE,NEG,gulf
قل شرق حلب ولا تقل حلب الشرقية وقل غرب حلب ولا تقل حلب الغربية فحلب موحدة ويريدونها منقسمة حلبتنتصر,FALSE,NEU,msa
طبيب المقاصة إصابة أحمدالشيخ بسيطة تحتاج للراحة فقط ,FALSE,NEG,msa
مرسي  مش هنام اكتر من اربع ساعات في اليوم لو نمت دقيقة كمان زيادة هديك علي دماغك  ,TRUE,NEG,egypt
انتخبواالبرص مشكلة,TRUE,NEG,egypt
 هاشتاق العرب فيديو  أهالي القدس يرفعون الأذان فوق أسطح منازلهم تحدياً لقانون سلطة ,FALSE,POS,msa
"محافظ العاصمة تفقد سير العملية الانتخابية في عدد من لجان الاقتراع   تفقد محافظ العاصمة الشيخ طلال الخالد الأحمد الصباح، عددا من مقار اللجان الانتخابية في بعض مناطق المحافظة، وذلك لمتابعة سير عملية الاقتراع ",FALSE,NEU,msa
الاتجاه أوباما يصل الى إسرائيل للمشاركة بدفن بيريس الاتجاه برس  وكالاتوصل الرئيس الأمريكي باراك أوباما وز ,FALSE,NEU,msa
 والله ما عليش مايمدي ايفون سبع يا حبيبي,FALSE,POS,gulf
اف هذا,FALSE,NEG,levant
"ريال مدريد  كلوب أميركا، نصف النهائيالساعه ١٣٠ الظهر هلا مدريييد ولاشيئ اخر ",FALSE,POS,msa
