tweet,sarcasm,sentiment,dialect
د محمود_العلايلي أرى أن الفريق أحمد_شفيق رقم مهم في المعادلة السياسية المصرية ولا يمكن إغفالههل ترى أن هذا صحيح؟ أربعة_زائد_واحد,FALSE,NEU,msa
مع فيدرر يا آجا والكبار,FALSE,NEU,msa
الداعون لمبدأ الاختلاط بين الجنسين؛ كالداعين لإلغاء التسعيرة كلاهما يريد تصفية السوق السوداء بجعلها حرة الاختلاط,TRUE,NEG,msa
_94 78 5 202 مساكين من الصبح و هوما رايحين راجعين عاى غوغل تعبت بدالهم ههههه ي,TRUE,NEG,gulf
قل شرق حلب ولا تقل حلب الشرقية وقل غرب حلب ولا تقل حلب الغربية فحلب موحدة ويريدونها منقسمة حلب_تنتصر,FALSE,NEU,msa
طبيب المقاصة إصابة أحمد_الشيخ بسيطة تحتاج للراحة فقط 8,FALSE,NEG,msa
مرسي مش هنام اكتر من اربع ساعات في اليوم لو نمت دقيقة كمان زيادة هديك علي دماغك,TRUE,NEG,egypt
انتخبوا_البرص مشكلة,TRUE,NEG,egypt
هاشتاق العرب فيديو أهالي القدس يرفعون الأذان فوق أسطح منازلهم تحدياً لقانون سلطة 430,FALSE,POS,msa
"محافظ العاصمة تفقد سير العملية الانتخابية في عدد من لجان الاقتراع تفقد محافظ العاصمة الشيخ طلال الخالد الأحمد الصباح، عددا من مقار اللجان الانتخابية في بعض مناطق المحافظة، وذلك لمتابعة سير عملية الاقتراع 0",FALSE,NEU,msa
الاتجاه أوباما يصل الى إسرائيل للمشاركة بدفن بيريس الاتجاه برس وكالاتوصل الرئيس الأمريكي باراك أوباما وز 2,FALSE,NEU,msa
والله ما عليش مايمدي ايفون سبع يا حبيبي,FALSE,POS,gulf
اف هذا,FALSE,NEG,levant
"ريال مدريد كلوب أميركا، نصف النهائيالساعه ١ ٣٠ الظهر هلا مدريييد ولاشيئ اخر",FALSE,POS,msa
